id,requirement,backend,db,frontend,validation,test,demo_evidence,status,owner,notes
A1.1,Employee CRUD,,,,,,,NOT_STARTED,,
A1.2,List view,,,,,,,NOT_STARTED,,
A1.3,Kanban view,,,,,,,NOT_STARTED,,
A1.4,Detail hub,,,,,,,NOT_STARTED,,
A1.5,Department,,,,,,,NOT_STARTED,,
A1.6,Manager,,,,,,,NOT_STARTED,,
A1.7,Job position,,,,,,,NOT_STARTED,,
A1.8,Employment status,,,,,,,NOT_STARTED,,
A1.9,Employee type,,,,,,,NOT_STARTED,,
A1.10,Schedule assignment,,,,,,,NOT_STARTED,,
A1.11,Linked contracts,,,,,,,NOT_STARTED,,
A1.12,Linked attendance,,,,,,,NOT_STARTED,,
A1.13,Linked time off,,,,,,,NOT_STARTED,,
A1.14,Related-record counts,,,,,,,NOT_STARTED,,
A1.15,Employment history,,,,,,,NOT_STARTED,,
A2.1,Contract CRUD,,,,,,,NOT_STARTED,,
A2.2,Historical contracts,,,,,,,NOT_STARTED,,
A2.3,Start/end dates,,,,,,,NOT_STARTED,,
A2.4,Wage/dept/position/type/structure/schedule,,,,,,,NOT_STARTED,,
A2.5,Status,,,,,,,NOT_STARTED,,
A2.6,Active-current indication,,,,,,,NOT_STARTED,,
A2.7,Period-specific resolution,,,,,,,NOT_STARTED,,
A2.8,Reject ambiguous concurrent contracts,,,,,,,NOT_STARTED,,
A2.9,Historical payroll uses historical contract,,,,,,,NOT_STARTED,,
A2.10,Employee sees only own contract,,,,,,,NOT_STARTED,,
A3.1,Schedule CRUD list/form,,,,,,,NOT_STARTED,,
A3.2,Day/start/end/break rows,,,,,,,NOT_STARTED,,
A3.3,Computed weekly hours,,,,,,,NOT_STARTED,,
A3.4,Employee/contract assignment,,,,,,,NOT_STARTED,,
A3.5,Payroll work-context integration,,,,,,,NOT_STARTED,,
A3.6,Schedule grid responsiveness,,,,,,,NOT_STARTED,,
A4.1,Check-in/check-out,,,,,,,NOT_STARTED,,
A4.2,Worked hours from timestamps,,,,,,,NOT_STARTED,,
A4.3,Status derivation,,,,,,,NOT_STARTED,,
A4.4,List/form,,,,,,,NOT_STARTED,,
A4.5,Permitted employee creation,,,,,,,NOT_STARTED,,
A4.6,Authorized corrections,,,,,,,NOT_STARTED,,
A4.7,Missing-checkout exception,,,,,,,NOT_STARTED,,
A4.8,Reporting integration,,,,,,,NOT_STARTED,,
A4.9,Payroll context,,,,,,,NOT_STARTED,,
A4.10,Attendance calendar,,,,,,,NOT_STARTED,,
A5.1,Leave types,,,,,,,NOT_STARTED,,
A5.2,Requests,,,,,,,NOT_STARTED,,
A5.3,Allocations,,,,,,,NOT_STARTED,,
A5.4,Days/hours policies,,,,,,,NOT_STARTED,,
A5.5,Allocation requirement,,,,,,,NOT_STARTED,,
